subject,site,condition_type,dark,stimulus,duration,eda_tonic_mean,eda_tonic_std,eda_tonic_max,eda_tonic_min,eda_tonic_median,eda_phasic_mean,eda_phasic_std,eda_phasic_max,eda_phasic_min,eda_phasic_median,eda_phasic_auc,eda_scr,scr_peaks_rate,scr_recovery_rate,aware,bothered,granted,ddp_familiar,ddp_bothered,was_fixated,fixated_ratio,age,is_male,eng_speaking_freq,eng_understanding_freq,eng_proficiency,dark_first,hotel_first
6,hotels,dark_notification,1,notification,2.9308,675.8285,2.6735,679.9893,670.9802,675.9956,-12.7226,5.9014,-1.6588,-22.7520,-13.4983,0.0000,0,0.0000,0.3412,1,100.0,0,0.0000,52.7000,1,0.7403,28,1,1,1,1,0,0
6,hotels,dark_travelProtection,1,travelProtection,7.8090,512.0476,4.1407,519.3203,505.4664,511.8966,-0.1993,2.7240,3.8808,-5.6670,-1.1043,1.0886,0,0.1281,0.1281,1,100.0,0,0.0000,57.5700,1,0.8701,28,1,1,1,1,0,0
6,hotels,dark_newsletter,1,newsletter,15.0000,507.1551,3.3013,515.1836,502.5963,507.1423,-1.5508,6.5493,10.8003,-14.1099,-2.5922,2.0649,1,0.0667,0.0667,1,100.0,1,0.0000,44.6600,1,0.5288,28,1,1,1,1,0,0
7,hotels,fair_cookies,0,cookies,3.4009,226.0794,0.0955,226.3466,225.9796,226.0507,-0.9941,0.7121,-0.1166,-2.8328,-0.8161,0.0000,0,0.2940,0.0000,0,42.08,1,0.5000,50.2900,1,0.7662,19,0,2,4,3,0,1
7,hotels,fair_geolocation,0,geolocation,6.1768,230.1949,1.4785,232.3322,227.5402,230.3313,0.7962,2.2736,4.0578,-3.1705,1.2455,1.4688,1,0.1619,0.0000,0,0.0,0,0.5000,50.2900,1,0.0833,19,0,2,4,3,0,1
7,hotels,fair_notification,0,notification,14.7220,221.0690,4.8050,229.0682,212.6298,221.1606,-0.0984,0.7778,1.2194,-1.4169,-0.2029,0.2973,1,0.1359,0.1359,0,0.0,0,0.5000,52.9900,0,0.0000,19,0,2,4,3,0,1
7,hotels,fair_travelProtection,0,travelProtection,14.2140,248.4517,6.5389,258.6703,237.8751,248.4470,-1.5637,3.0260,2.5966,-10.3211,-0.7894,0.2382,1,0.0704,0.0000,0,0.0,0,0.5000,45.7700,1,0.7776,19,0,2,4,3,0,1
7,hotels,fair_newsletter,0,newsletter,2.8530,226.1124,1.0915,227.9641,224.1656,226.1358,-0.6804,4.7702,5.5784,-7.5541,-0.5675,1.8464,1,0.3505,0.0000,0,0.0,0,1.0000,81.1600,1,0.8826,19,0,2,4,3,0,1
7,flights,dark_cookies,1,cookies,1.7168,192.7081,0.8580,194.1926,191.2249,192.7077,-0.2833,0.2336,0.1034,-0.5631,-0.3217,0.0102,0,0.0000,0.0000,0,0.0,1,0.5000,50.2900,1,0.7584,19,0,2,4,3,0,1
7,flights,dark_geolocation,1,geolocation,7.0939,182.5259,2.7600,187.6429,178.0395,182.3531,-0.5681,0.8042,0.9998,-2.1709,-0.3260,0.0698,0,0.0000,0.0000,0,0.0,1,0.5000,50.2900,1,0.8352,19,0,2,4,3,0,1
7,flights,dark_notification,1,notification,7.3539,156.5867,2.3609,161.4949,153.7391,156.0524,-1.3922,1.0189,-0.1099,-3.2649,-1.0947,0.0000,0,0.0000,0.0000,0,0.0,1,0.5000,52.9900,1,0.8580,19,0,2,4,3,0,1
7,flights,dark_travelProtection,1,travelProtection,8.5550,234.9494,0.7523,235.7851,233.0910,235.1450,1.5897,3.9142,9.4441,-3.9451,0.1620,2.2963,1,0.1169,0.1169,0,3.58,0,0.5000,45.7700,1,0.8639,19,0,2,4,3,0,1
7,flights,dark_newsletter,1,newsletter,14.2400,232.1014,2.8325,236.8502,227.7717,232.1532,-0.4217,3.8225,9.0920,-4.7956,-1.6649,1.4217,1,0.1404,0.1404,1,18.6,1,1.0000,81.1600,1,0.3254,19,0,2,4,3,0,1
8,flights,dark_cookies,1,cookies,15.0000,51.2851,0.3681,52.2542,50.9002,51.1717,-0.0722,0.2447,0.3191,-0.7882,-0.0367,0.0522,0,0.0000,0.0000,1,86.68,1,1.0000,98.5350,1,0.4109,27,0,2,4,4,1,0
8,flights,dark_geolocation,1,geolocation,10.2330,57.9869,0.1762,58.3543,57.5947,57.9880,0.0751,0.3060,0.6018,-0.3741,0.0394,0.1696,0,0.0000,0.0000,1,98.18,1,1.0000,98.5350,1,0.8403,27,0,2,4,4,1,0
8,flights,dark_notification,1,notification,5.2479,57.8916,0.2287,58.3478,57.4873,57.8800,-0.0213,1.2734,1.1245,-3.4391,0.3965,0.4612,0,0.0000,0.0000,1,93.25,0,1.0000,68.4850,1,0.7652,27,0,2,4,4,1,0
8,flights,dark_travelProtection,1,travelProtection,4.5180,50.9905,0.0410,51.0428,50.9005,50.9993,-0.1029,0.4967,0.6848,-0.7721,-0.2534,0.1814,1,0.2213,0.2213,0,20.01,0,1.0000,99.1800,1,0.8415,27,0,2,4,4,1,0
8,flights,dark_newsletter,1,newsletter,15.0000,48.7475,1.3216,50.8495,47.1529,48.5841,-0.0379,0.8023,1.2963,-1.3679,0.0842,0.3455,1,0.0667,0.0667,1,91.14,1,1.0000,97.8300,1,0.5279,27,0,2,4,4,1,0
8,hotels,fair_cookies,0,cookies,7.3389,50.1805,0.1836,50.4428,49.7433,50.2384,0.7391,0.9309,1.9297,-1.7377,1.0027,0.9089,1,0.1363,0.1363,1,62.03,1,1.0000,98.5350,1,0.5406,27,0,2,4,4,1,0
8,hotels,fair_geolocation,0,geolocation,2.9740,49.4914,0.1285,49.7424,49.3208,49.4711,-0.5597,1.5444,1.3345,-2.5072,-0.1973,0.4524,0,0.0000,0.0000,1,67.9,0,1.0000,98.5350,0,0.0000,27,0,2,4,4,1,0
8,hotels,fair_notification,0,notification,15.0000,49.7757,1.6798,51.3966,46.2900,50.5840,0.0349,1.2546,2.4324,-2.6958,-0.0353,0.5326,1,0.0667,0.0667,0,43.13,0,1.0000,68.4850,0,0.0000,27,0,2,4,4,1,0
8,hotels,fair_travelProtection,0,travelProtection,1.9099,30.4609,0.0133,30.4818,30.4361,30.4619,0.0146,0.0649,0.1890,-0.0486,-0.0070,0.0318,0,0.0000,0.0000,0,41.96,0,1.0000,99.1800,1,0.8554,27,0,2,4,4,1,0
8,hotels,fair_newsletter,0,newsletter,5.8680,30.2200,0.1339,30.4078,29.9615,30.2403,0.3259,0.2306,0.7664,-0.3082,0.3297,0.3329,0,0.1704,0.1704,0,41.26,0,1.0000,97.8300,1,0.8393,27,0,2,4,4,1,0
9,hotels,dark_cookies,1,cookies,3.0629,37.6201,0.0505,37.6937,37.5125,37.6289,0.5114,0.5866,0.9574,-0.6951,0.8389,0.6272,0,0.0000,0.0000,1,69.19,1,1.0000,64.2050,1,0.7994,28,0,4,4,4,1,1
9,hotels,dark_geolocation,1,geolocation,6.3569,38.6368,0.2631,39.0299,38.1385,38.6678,0.3412,0.3225,0.9125,-0.2338,0.2716,0.3608,0,0.1573,0.0000,1,60.27,1,1.0000,64.2050,1,0.8319,28,0,4,4,4,1,1
9,hotels,dark_notification,1,notification,2.3347,39.3664,0.0098,39.3848,39.3508,39.3657,0.0960,0.0576,0.1548,-0.0195,0.1167,0.0967,0,0.0000,0.0000,0,38.2,0,0.5000,48.0050,1,0.5437,28,0,4,4,4,1,1
9,hotels,dark_travelProtection,1,travelProtection,3.6834,40.6164,0.2828,40.9684,40.0087,40.6806,0.2290,0.2467,0.6839,-0.2144,0.2375,0.2424,0,0.0000,0.0000,0,36.68,0,1.0000,74.1200,1,0.3572,28,0,4,4,4,1,1
9,hotels,dark_newsletter,1,newsletter,9.4598,50.1094,1.0676,52.7873,49.1779,49.5218,-1.0061,3.3192,2.9065,-5.1856,0.1244,1.0838,1,0.2114,0.1057,0,55.81,1,1.0000,61.8000,1,0.4405,28,0,4,4,4,1,1
9,flights,fair_cookies,0,cookies,1.5598,52.6892,0.2536,53.1241,52.2491,52.6905,2.6775,0.4851,3.4465,1.8940,2.6227,2.6762,0,0.0000,0.0000,0,19.31,0,1.0000,64.2050,1,0.7482,28,0,4,4,4,1,1
9,flights,fair_geolocation,0,geolocation,2.4150,51.6447,0.3196,52.2474,51.1628,51.6140,-1.8177,3.4730,3.4640,-4.9646,-4.0062,0.9220,1,0.4141,0.4141,0,24.47,0,1.0000,64.2050,0,0.0000,28,0,4,4,4,1,1
9,flights,fair_notification,0,notification,4.8537,57.7098,0.0364,57.7500,57.6266,57.7204,-0.3880,0.3304,0.2867,-0.7520,-0.4958,0.0355,0,0.0000,0.0000,1,65.08,0,0.5000,48.0050,1,0.4725,28,0,4,4,4,1,1
9,flights,fair_travelProtection,0,travelProtection,1.7200,50.7576,0.1944,51.0496,50.3817,50.7787,1.3350,0.0257,1.4171,1.3089,1.3246,1.3342,0,0.0000,0.0000,0,39.85,0,1.0000,74.1200,1,0.8837,28,0,4,4,4,1,1
9,flights,fair_newsletter,0,newsletter,7.2979,58.7919,2.6701,64.1845,55.2733,58.2534,-3.5871,1.9613,2.3511,-6.0830,-3.6702,0.0474,0,0.0000,0.0000,0,29.52,1,1.0000,61.8000,1,0.3580,28,0,4,4,4,1,1
10,flights,fair_cookies,0,cookies,8.2530,267.8493,0.4064,268.2215,266.8126,268.0614,-0.1707,3.1424,5.6509,-4.1381,-0.9491,1.2629,1,0.1212,0.1212,0,61.33,0,1.0000,100.0000,1,0.7771,39,1,1,4,3,0,0
10,flights,fair_geolocation,0,geolocation,15.0000,265.3957,0.3110,266.4314,265.0934,265.3102,-0.2350,3.6149,8.4447,-6.5656,-0.5926,1.3059,1,0.1333,0.1333,0,0.0,0,1.0000,100.0000,1,0.0441,39,1,1,4,3,0,0
10,flights,fair_notification,0,notification,3.5649,251.1858,0.8971,252.6656,249.6465,251.2001,-0.6587,2.5945,5.3738,-4.5242,-0.4711,0.7193,0,0.0000,0.0000,0,0.0,0,0.5000,100.0000,1,0.3923,39,1,1,4,3,0,0
10,flights,fair_travelProtection,0,travelProtection,6.3430,278.9538,2.1420,281.7513,274.8013,279.3105,2.5625,4.6021,8.9457,-7.7277,3.3168,3.5103,1,0.3153,0.1577,0,0.0,0,1.0000,100.0000,1,0.7722,39,1,1,4,3,0,0
10,flights,fair_newsletter,0,newsletter,5.1140,277.3072,0.2148,277.8931,277.1099,277.2230,-1.4278,1.3931,0.3339,-4.2318,-1.1895,0.0450,0,0.0000,0.0000,0,0.0,0,1.0000,100.0000,1,0.6722,39,1,1,4,3,0,0
10,hotels,dark_cookies,1,cookies,15.0000,302.5138,3.0907,305.1808,292.5815,303.6363,2.2579,6.3152,14.4612,-6.4829,0.9408,3.8091,1,0.1333,0.1333,1,100.0,1,1.0000,100.0000,1,0.7739,39,1,1,4,3,0,0
10,hotels,dark_geolocation,1,geolocation,3.1147,299.7450,0.5739,300.7561,298.7699,299.7341,-3.7645,2.3501,-0.4919,-6.8284,-3.8350,0.0000,0,0.0000,0.0000,1,74.35,0,1.0000,100.0000,1,0.4929,39,1,1,4,3,0,0
10,hotels,dark_notification,1,notification,3.3178,302.4575,0.6392,303.5514,301.4066,302.4483,2.6144,7.1763,11.7195,-5.9597,2.1898,4.7166,1,0.3014,0.0000,1,58.86,0,0.5000,100.0000,1,0.7685,39,1,1,4,3,0,0
10,hotels,dark_travelProtection,1,travelProtection,5.5120,327.7903,1.4234,329.8532,324.9655,328.0117,2.8426,5.5750,11.4655,-6.0387,1.5458,3.9460,0,0.1814,0.1814,1,63.56,0,1.0000,100.0000,1,0.6745,39,1,1,4,3,0,0
10,hotels,dark_newsletter,1,newsletter,15.0000,327.0410,1.6866,330.5916,325.2555,326.3620,-0.0395,2.6463,6.7163,-2.7269,-1.4011,1.0967,1,0.1333,0.1333,1,100.0,1,1.0000,100.0000,1,0.2241,39,1,1,4,3,0,0
11,hotels,fair_cookies,0,cookies,2.5739,129.6760,0.6290,130.7192,128.5771,129.6913,4.9404,1.8781,7.1663,-0.0932,5.5140,4.9404,0,0.3885,0.0000,0,12.15,0,1.0000,100.0000,1,0.8208,33,0,1,3,3,0,1
